Title,Directors,Year
Ramona fait son cinéma,Andrea Bagney,2022
Sublime,Mariano Biasin,2022
La Dernière Reine,"Damien Ounouri,Adila Bendimerad",2022
The Quiet Girl,Colm Bairéad,2022
L'Empire,Bruno Dumont,2023
Sea Sparkle,Domien Huyghe,2023
Ma fille,Naidra Ayadi,2018
La passion de Dodin Bouffant,Tran Anh Hung,2023
Légua,"Filipa Reis,João Miller Guerra",2023
Goodbye Julia,Mohamed Kordofani,2023
Simple comme Sylvain,"Monia Chokri,Monia Chokri",2023
J'irai où tu iras,Géraldine Nakache,2019
The Host,"Bong  Joon-ho,Bong Joon-ho",2006
Loulou,Émilie Noblet,2023
In Bed,Nitzan Gilady,2021
Collection,Marianna Palka,2021
Langue des oiseaux,Erik Bullot,2021
Le club des miracles,Thaddeus O'Sullivan,2023
Universal Theory,Timm Kröger,2023
Le goût du saké,Yasujirô Ozu,1962
Le Théorème de Marguerite,Anna Novion,2023
Le Petit Blond de la Casbah,Alexandre Arcady,2023
Piégés dans la Savane,Mukunda Michael Dewil,2024
Malum,Anthony DiBlasi,2023
Lost Country,Vladimir Perisic,2023
Un si noble tueur,"Michael Relph,Basil Dearden",1952
3 jours max,Tarek Boudali,2023
Une année difficile,"Eric Toledano,Olivier Nakache",2023
Avant que les flammes ne s'éteignent,Mehdi Fikri,2023
Last Dance !,Delphine Lehericey,2022
The Operative,Yuval Adler,2019
Déménagement,Shinji Sômai,1993
Kokon,Leonie Krippendorff,2020
Le Barbier,Dennis Shinners,2022
Le Champ des possibles,Aly Muritiba,2021
Gueules noires,Mathieu Turi,2023
Marie-Line et son juge,Jean-Pierre Améris,2023
Arturo à la trentaine,Martín Shanly,2023
Un prince,Pierre Creton,2023
Aftersun,Charlotte Wells,2022
La Chimère,Alice Rohrwacher,2023
L'Autre Laurens,Claude Schmitz,2023
The Old Oak,"Ken Loach,Ken Loach",2023
Vamos a la playa,Bettina Blümner,2022
MMXX,Cristi Puiu,2023
L'air de la mer rend libre,Nadir Moknèche,2023
Sissi & Moi,Frauke Finsterwalder,2023
L'Enfant du paradis,Salim Kechiouche,2022
Le Livre des solutions,Michel Gondry,2023
Comme une louve,Caroline Glorion,2023
Jours sauvages,David Lanzmann,2021
L'Arbre aux papillons d'or,Thien An Pham,2023
Tove,Zaida Bergroth,2020
La Fiancée du poète,Yolande Moreau,2023
Lost in the Night,Amat Escalante,2023
Vicenta B.,Carlos Lechuga,2022
Aya,Simon Coulibaly Gillard,2021
Goodbye,Atsuko Ishizuka,2021
Mal viver,João Canijo,2023
Viver mal,João Canijo,2023
Les Cadors,Julien Guetta,2022
Godland,Hlynur Pálmason,2022
La comédie humaine,Kôji Fukada,2006
Follia,Charles Guérin Surville,2023
Abdelinho,Hicham Ayouch,2021
Le Choix de Raphi,Adrian Silvestre,2022
Un automne à Great Yarmouth,Marco Martins,2022
Les Herbes sèches,Nuri Bilge Ceylan,2023
Rama Pankararu,Pedro Sodre,2022
Natural Light,Dénes Nagy,2021
Déserts,Faouzi Bensaïdi,2023
Club Zéro,Jessica Hausner,2023
Coup de foudre à Oxford,Ryan Whitaker,2023
Le Règne animal,Thomas Cailley,2023
Les avantages de voyager en train,Aritz Moreno,2019
L’enlèvement,Marco Bellocchio,2023
Poisson rouge,"Matthieu Yakovleff,Clément Vallos,Hugo Bachelet",2022
Le Ciel rouge,Christian Petzold,2023
Toni en famille,Nathan Ambrosioni,2023
Les Inshortables - Vol 8,"Rémi Giordano,Clémentine Decremps,,Marcelo Grabowsky,Raphaël Deslandes,Dania Bdeir,Nans Laborde-Jourdaa",2023
Vincent ou la fin du monde,Christophe van Rompaey,2016
Sous les figues,Erige Sehiri,2021
Testament,Denys Arcand,2023
Le Procès Goldman,"Cédric Kahn,Cédric Kahn",2023
La Beauté du geste,Shô Miyake,2022
Super-bourrés,Bastien Milheau,2023
24 heures à New York,Vuk Lungulov-Klotz,2023
Hinterland,Stefan Ruzowitzky,2021
Ama Gloria,Marie Amachoukeli,2023
Retribution,Nimród Antal,2023
Yannick,"Quentin Dupieux,Quentin Dupieux",2023
Le Consentement,Vanessa Filho,2023
L'été dernier,Catherine Breillat,2023
Anatomie d'une chute,Justine Triet,2023
Fermer les yeux,Víctor Erice,2023
Un métier sérieux,Thomas Lilti,2023
Le ravissement,Iris Kaltenbäck,2023
L'Amour et les Forêts,Valérie Donzelli,2023
Les Feuilles mortes,Aki Kaurismäki,2023
Plus que jamais,Emily Atef,2022
Boy Culture : Generation X,Q. Allan Brocka,2021
Assaut,Adilkhan Yerzhanov,2022
L'éducation d'Ademoka,Adilkhan Yerzhanov,2022
Unrelated,Joanna Hogg,2007
Exhibition,Joanna Hogg,2013
Archipelago,Joanna Hogg,2010
Addicted to Romance,Rebecca Miller,2023
Straight Up,James Sweeney,2019
The Outwaters,Robbie Banfitch,2022
